logA n_s H0 omega_b omega_cdm m_ncdm tau_reio
3.027979858887724252e+00 9.369016689213046645e-01 6.802812973545911746e+01 2.201406574022988713e-02 1.167058771037029763e-01 4.292316483296052670e-02 1.160541907926006949e-02
2.936324079574838652e+00 9.126801207582551090e-01 6.927520596605451431e+01 2.208951246896172574e-02 1.241623804622679905e-01 4.945435370107030548e-02 1.930557784154559794e-02
3.072508313527058554e+00 9.184436641738703555e-01 6.824278272018415237e+01 2.213691379661553854e-02 1.171032932452380076e-01 5.055994579024119390e-02 1.570228720097494035e-02
3.063974680655984439e+00 9.323346384745316850e-01 6.903034765247797111e+01 2.216473454292806552e-02 1.298937953686881697e-01 3.687791121115416987e-02 7.519246983278907170e-02
3.005355569670949745e+00 9.790213675965570017e-01 6.858693155843175759e+01 2.234176788168832500e-02 1.216608968225739856e-01 5.701227472826696924e-02 2.488266311808529779e-02
3.004433763693621362e+00 9.396617090803821570e-01 6.940224422401961135e+01 2.233309259742996891e-02 1.198521597696709517e-01 6.997674531030460832e-02 1.730445087606469895e-02
2.919757641593074382e+00 9.987721559530321480e-01 6.921674840736703516e+01 2.236268654355903079e-02 1.277422363370105396e-01 3.710743215305240070e-03 6.775340555362616146e-02
2.925001917410618546e+00 9.858689452147265664e-01 6.974477419714645521e+01 2.232352044248628320e-02 1.266104682553833849e-01 2.756744742799792716e-02 2.188406764249770792e-02
2.914446601791169655e+00 9.518599252708596081e-01 6.890988539629118748e+01 2.231469693879115437e-02 1.201346244836241917e-01 7.132390861184831343e-02 2.667289618389565020e-02
2.969415850614617103e+00 9.707678934373586976e-01 6.800693449386912448e+01 2.203335274282674019e-02 1.150799439418135756e-01 3.687448593173603406e-02 5.945129888533062096e-02
3.041700702180258897e+00 9.215125042378295994e-01 6.903641311677876047e+01 2.249608684372652462e-02 1.194829654794250517e-01 7.833335616124781353e-02 4.378099977095305934e-02
3.002813478157540850e+00 9.594906861596821379e-01 6.785323010360781382e+01 2.206492869067890050e-02 1.132714989824753493e-01 8.150447962468415630e-02 6.961888439920027594e-02
3.187712166260975977e+00 9.637115720399020979e-01 6.838320698631481775e+01 2.224887482336117620e-02 1.198212376014195502e-01 6.250981372463441932e-02 6.839729460408701389e-02
3.081692476461405317e+00 9.277900780840593331e-01 6.930749852889097440e+01 2.207659219471690831e-02 1.274046677054411769e-01 2.613438372029493195e-02 5.185423375010789204e-02
2.802829140898140725e+00 9.121450349944130176e-01 6.852884808767187508e+01 2.206044096093440210e-02 1.194184931801438587e-01 9.942462142901452304e-02 3.605720307500479699e-02
2.997948840405570081e+00 9.527978611981604562e-01 6.797436696833906922e+01 2.215338924867029519e-02 1.139562239699888624e-01 5.059688347975121320e-02 4.459164569824484309e-02
3.032122297291571122e+00 9.509267819710599534e-01 6.878259638325934588e+01 2.236234472224414571e-02 1.187148700002327306e-01 2.364290939276686432e-02 1.157565263984509409e-02
2.860623250201809853e+00 9.476887562536940868e-01 6.854473584826808974e+01 2.259167287625738277e-02 1.234329218163317532e-01 4.596135835480640724e-02 5.202462958671724702e-02
3.115385246698833654e+00 9.847080000392534060e-01 6.890253879670213166e+01 2.225913085317859919e-02 1.233772483211014737e-01 3.310547383133057020e-02 2.455219702446768612e-02
2.995276158429112101e+00 9.327075305719340070e-01 6.834424343521050105e+01 2.210395414846522827e-02 1.148241352344802346e-01 7.294452160542262698e-02 1.857789147897136867e-02
2.943802387190892933e+00 9.759698446374170944e-01 6.915897557099442849e+01 2.226048474755407819e-02 1.211045360096762030e-01 1.763097572816244712e-02 3.481614865733729386e-02
2.893488622377437203e+00 9.369530054426755683e-01 6.910423723338985269e+01 2.208719543067787228e-02 1.243278930567596335e-01 3.668943393935467784e-02 3.943849096026225826e-02
3.115267317918771983e+00 9.247873813667335519e-01 6.960812331478692272e+01 2.257204417985878356e-02 1.209449656856245725e-01 9.432513069220148372e-02 3.558108425672416170e-02
2.808056405299459435e+00 9.961034296856965398e-01 6.845327699844794722e+01 2.215142550093996548e-02 1.215682924147303834e-01 3.559906386101976267e-02 3.885497275998753275e-02
