logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -1.255692074777761491e+03 -1.261684789064452843e+03 3.200000000000000067e-01
-1.261684789064452843e+03 nan -2.500000000000000052e-03 4.000000000000000000e+02 -1.229732065889395926e+03 -1.235727280176087334e+03 1.715000000000000080e+00
-1.235727280176082104e+03 nan -5.000000000000000104e-03 4.000000000000000000e+02 -1.192240522916669079e+03 -1.198238237203360313e+03 7.850000000000000311e-01
-1.198238237203360313e+03 nan -7.499999999999999722e-03 4.000000000000000000e+02 -1.186463462156595369e+03 -1.192463676443286658e+03 1.564999999999999947e+00
-1.192460575694136196e+03 2.073144048480137513e+01 -1.000000000000000021e-02 4.000000000000000000e+02 -1.181824787872742490e+03 -1.187827502159433834e+03 6.250000000000000000e-01
-1.187817824317643726e+03 2.981902588727260106e+00 -1.250000000000000069e-02 4.000000000000000000e+02 -1.179202433497953734e+03 -1.185207647784645133e+03 7.199999999999999734e-01
-1.185136703359285775e+03 3.594580858137884860e+00 -1.500000000000000118e-02 4.000000000000000000e+02 -1.172743484887073464e+03 -1.178751199173764689e+03 1.060000000000000053e+00
-1.178749514774845238e+03 3.657222267751613742e+00 -1.750000000000000167e-02 4.000000000000000000e+02 -1.169070874322073905e+03 -1.175081088608765185e+03 1.094999999999999973e+00
-1.175055892125823902e+03 3.086763483652252837e+00 -2.000000000000000042e-02 4.000000000000000000e+02 -1.163937818622919622e+03 -1.169950532909610956e+03 1.570000000000000062e+00
-1.169944487062452936e+03 2.800715407322935668e+00 -2.249999999999999917e-02 4.000000000000000000e+02 -1.163571950613519903e+03 -1.169587164900211292e+03 1.114999999999999991e+00
-1.169056803100074376e+03 1.799650785338787973e+00 -2.499999999999999792e-02 4.000000000000000000e+02 -1.161377202562811817e+03 -1.167394916849503034e+03 1.945000000000000062e+00
-1.167221147871652192e+03 1.747213797853047534e+00 -2.749999999999999667e-02 4.000000000000000000e+02 -1.145842021439031896e+03 -1.151862235725723167e+03 1.500000000000000000e+00
