weight logl logA n_s H0 omega_b omega_cdm m_ncdm tau_reio
1.659318395751551275e-239 -1.255692074777761491e+03 2.927625210311266990e+00 9.346653215606288700e-01 7.992656617942272135e+01 2.218172724613542979e-02 1.114415623047882165e-01 5.956574776288689477e-02 5.953681935636154221e-02
3.112666575243214463e-228 -1.229732065889395926e+03 3.138756863340795178e+00 9.602847860313488138e-01 7.967877935872515138e+01 2.226609747004820380e-02 1.111291649756239869e-01 4.222274984562016109e-02 4.406339479052102243e-02
5.948631917760617627e-212 -1.192240522916669079e+03 3.162984974475751443e+00 9.142238053540739928e-01 7.979296931550047134e+01 2.239836502245902763e-02 1.177678730264707374e-01 7.123132336764871619e-02 2.309585592848750757e-02
1.915477127657613858e-209 -1.186463462156595369e+03 2.820074929693473731e+00 9.926021928951134221e-01 7.967860725051367865e+01 2.201407309045151986e-02 1.202992292433362476e-01 2.295863060598320182e-02 3.332129900589923116e-02
1.975794986729029302e-207 -1.181824787872742490e+03 3.186030588256136831e+00 9.424793049103465936e-01 7.991234568271838157e+01 2.236952040238219391e-02 1.205297803625652031e-01 2.156261813148385720e-02 1.743857274603475421e-02
2.713502196744892763e-206 -1.179202433497953734e+03 2.821108914078207519e+00 9.965030651581955334e-01 7.963022874708954646e+01 2.235451203615713978e-02 1.171587450327805091e-01 1.262864198536948340e-02 1.733256775793715065e-02
1.727946062356631725e-203 -1.172743484887073464e+03 2.815243429690396759e+00 9.301770527954614787e-01 7.880911622226041402e+01 2.211197518211720919e-02 1.108675274119906712e-01 6.431331619956844048e-02 2.787083696240783698e-02
6.783267567645985928e-202 -1.169070874322073905e+03 2.940975901574737872e+00 9.369464897893697852e-01 7.989771683603899532e+01 2.228744540237569821e-02 1.239650350701094472e-01 4.308037757652721095e-02 6.041644224754417342e-02
1.147125614860568377e-199 -1.163937818622919622e+03 2.816839816283463804e+00 9.993303274436544648e-01 7.995762315150709298e+01 2.253462203554774945e-02 1.228266431498147154e-01 3.051967288953483237e-02 7.233637815452129138e-02
1.649755932967880664e-199 -1.163571950613519903e+03 2.955988577433890541e+00 9.656163806823874207e-01 7.959924690388677959e+01 2.231338457156003055e-02 1.210868255747804823e-01 7.360028711210450658e-02 5.777879251108444802e-02
1.477409646211943543e-198 -1.161377202562811817e+03 3.132088295096780328e+00 9.635692304148513188e-01 7.892098317275349473e+01 2.236821638656448855e-02 1.121095549819466075e-01 9.102293530380778375e-02 1.732036608471936717e-02
