weight logl logA n_s H0 omega_b omega_cdm m_ncdm tau_reio
1.659318395751551275e-239 -1.255692074777761491e+03 3.190630257781680301e-01 3.466532156062888115e-01 9.963283089711360008e-01 3.028787435590509780e-01 7.207811523941065612e-02 5.956574776288688922e-01 7.076688479480219840e-01
3.112666575243214463e-228 -1.229732065889395926e+03 8.468921583519876117e-01 6.028478603134885816e-01 9.839389679362576802e-01 4.434957834136770138e-01 5.645824878119942714e-02 4.222274984562015554e-01 4.866199255788716815e-01
5.948631917760617627e-212 -1.192240522916669079e+03 9.074624361893787183e-01 1.422380535407399282e-01 9.896484657750237446e-01 6.639417040983790486e-01 3.883936513235368704e-01 7.123132336764871342e-01 1.870836561212501081e-01
1.915477127657613858e-209 -1.186463462156595369e+03 5.018732423368432727e-02 9.260219289511337770e-01 9.839303625256838881e-01 2.345515075253767900e-02 5.149614621668126002e-01 2.295863060598319905e-01 3.331614143699890285e-01
1.975794986729029302e-207 -1.181824787872742490e+03 9.650764706403415216e-01 4.247930491034663802e-01 9.956172841359187675e-01 6.158673373036616105e-01 5.264890181282598780e-01 2.156261813148385720e-01 1.062653249433536118e-01
2.713502196744892763e-206 -1.179202433497953734e+03 5.277228519551935282e-02 9.650306515819556674e-01 9.815114373544769899e-01 5.908533935952339222e-01 3.579372516390251224e-01 1.262864198536948201e-01 1.047509679705307395e-01
1.727946062356631725e-203 -1.172743484887073464e+03 3.810857422599223110e-02 3.017705279546147867e-01 9.404558111130205678e-01 1.866253035286863371e-01 4.337637059953358687e-02 6.431331619956843770e-01 2.552976708915405402e-01
6.783267567645985928e-202 -1.169070874322073905e+03 3.524397539368450127e-01 3.694648978936977413e-01 9.948858418019498329e-01 4.790756706261680709e-01 6.982517535054721947e-01 4.308037757652720678e-01 7.202348892506309497e-01
1.147125614860568377e-199 -1.163937818622919622e+03 4.209954070865973286e-02 9.933032744365444255e-01 9.978811575753548935e-01 8.910367259129157169e-01 6.413321574907354661e-01 3.051967288953483237e-01 8.905196879217327499e-01
1.649755932967880664e-199 -1.163571950613519903e+03 3.899714435847261296e-01 6.561638068238736521e-01 9.799623451943393349e-01 5.223076192667203133e-01 5.543412787390240570e-01 7.360028711210450103e-01 6.825541787297777496e-01
1.477409646211943543e-198 -1.161377202562811817e+03 8.302207377419499323e-01 6.356923041485129655e-01 9.460491586376751361e-01 6.136939776074860076e-01 1.054777490973304310e-01 9.102293530380778375e-01 1.045766583531337890e-01
8.227324585418908484e-192 -1.145842021439031896e+03 5.023391810996939988e-01 8.203432931753937840e-01 9.533291593242779749e-01 8.914636148997346909e-01 2.111980304373834993e-01 4.437004792601587644e-01 4.762631980179898861e-01
3.504644340804492735e-191 -1.144390308183740672e+03 9.700911893748760395e-01 8.672932188810783538e-01 9.477985862051038213e-01 3.098681096324805706e-01 3.108951672521641507e-01 3.070670061683864471e-01 8.136090527268202699e-02
1.448090886098329623e-185 -1.131456140610524926e+03 6.489536180629932316e-01 7.400705627697502509e-01 9.540147625212468396e-01 1.260364185660958203e-01 5.634836231661086714e-01 2.248220860380684138e-01 1.381807767337910331e-01
