14:49:30 [ultranest] [DEBUG] ReactiveNestedSampler: dims=7+0, resume=False, log_dir=lcdm_output/lcdm_real_run/run1, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
14:49:31 [ultranest] [INFO] Sampling 400 live points from prior ...
14:49:53 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
14:49:53 [ultranest] [DEBUG] max_iters=-1, max_ncalls=1000000, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
14:49:53 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
14:49:53 [ultranest] [DEBUG] iteration=0, ncalls=401, regioncalls=40, ndraw=40, logz=-inf, remainder_fraction=100.0000%, Lmin=-1255.69, Lmax=-708.36
14:49:53 [ultranest] [DEBUG] iteration=2, ncalls=403, regioncalls=120, ndraw=40, logz=-1235.73, remainder_fraction=100.0000%, Lmin=-1192.24, Lmax=-708.36
14:49:53 [ultranest] [DEBUG] iteration=4, ncalls=406, regioncalls=240, ndraw=40, logz=-1192.46, remainder_fraction=100.0000%, Lmin=-1181.82, Lmax=-708.36
14:49:53 [ultranest] [DEBUG] iteration=6, ncalls=408, regioncalls=320, ndraw=40, logz=-1185.14, remainder_fraction=100.0000%, Lmin=-1172.74, Lmax=-708.36
14:49:54 [ultranest] [DEBUG] iteration=8, ncalls=410, regioncalls=400, ndraw=40, logz=-1175.06, remainder_fraction=100.0000%, Lmin=-1163.94, Lmax=-708.36
14:49:54 [ultranest] [DEBUG] iteration=10, ncalls=412, regioncalls=480, ndraw=40, logz=-1169.06, remainder_fraction=100.0000%, Lmin=-1161.38, Lmax=-708.36
14:49:54 [ultranest] [DEBUG] iteration=12, ncalls=415, regioncalls=600, ndraw=40, logz=-1151.86, remainder_fraction=100.0000%, Lmin=-1144.39, Lmax=-708.36
14:49:54 [ultranest] [DEBUG] iteration=15, ncalls=419, regioncalls=760, ndraw=40, logz=-1136.23, remainder_fraction=100.0000%, Lmin=-1124.73, Lmax=-708.36
14:49:54 [ultranest] [DEBUG] iteration=17, ncalls=421, regioncalls=840, ndraw=40, logz=-1129.27, remainder_fraction=100.0000%, Lmin=-1120.77, Lmax=-708.36
14:49:54 [ultranest] [DEBUG] iteration=19, ncalls=425, regioncalls=1000, ndraw=40, logz=-1126.00, remainder_fraction=100.0000%, Lmin=-1117.41, Lmax=-708.36
14:49:55 [ultranest] [DEBUG] iteration=21, ncalls=427, regioncalls=1080, ndraw=40, logz=-1122.21, remainder_fraction=100.0000%, Lmin=-1116.27, Lmax=-708.36
14:49:55 [ultranest] [DEBUG] iteration=23, ncalls=429, regioncalls=1160, ndraw=40, logz=-1119.11, remainder_fraction=100.0000%, Lmin=-1112.93, Lmax=-708.36
14:49:55 [ultranest] [DEBUG] iteration=25, ncalls=431, regioncalls=1240, ndraw=40, logz=-1116.76, remainder_fraction=100.0000%, Lmin=-1108.89, Lmax=-708.36
14:49:55 [ultranest] [DEBUG] iteration=27, ncalls=434, regioncalls=1360, ndraw=40, logz=-1111.17, remainder_fraction=100.0000%, Lmin=-1104.56, Lmax=-708.36
14:49:55 [ultranest] [DEBUG] iteration=29, ncalls=436, regioncalls=1440, ndraw=40, logz=-1107.77, remainder_fraction=100.0000%, Lmin=-1100.08, Lmax=-708.36
14:49:55 [ultranest] [DEBUG] iteration=32, ncalls=439, regioncalls=1560, ndraw=40, logz=-1104.65, remainder_fraction=100.0000%, Lmin=-1099.23, Lmax=-708.36
14:49:55 [ultranest] [DEBUG] iteration=34, ncalls=441, regioncalls=1640, ndraw=40, logz=-1103.67, remainder_fraction=100.0000%, Lmin=-1098.13, Lmax=-708.36
14:49:56 [ultranest] [DEBUG] iteration=36, ncalls=443, regioncalls=1720, ndraw=40, logz=-1101.02, remainder_fraction=100.0000%, Lmin=-1093.49, Lmax=-708.36
14:49:56 [ultranest] [DEBUG] iteration=38, ncalls=445, regioncalls=1800, ndraw=40, logz=-1098.63, remainder_fraction=100.0000%, Lmin=-1092.68, Lmax=-708.36
14:49:56 [ultranest] [DEBUG] iteration=40, ncalls=447, regioncalls=1880, ndraw=40, logz=-1095.96, remainder_fraction=100.0000%, Lmin=-1089.39, Lmax=-708.36
14:49:56 [ultranest] [DEBUG] iteration=43, ncalls=450, regioncalls=2000, ndraw=40, logz=-1088.52, remainder_fraction=100.0000%, Lmin=-1081.35, Lmax=-708.36
14:49:56 [ultranest] [DEBUG] iteration=45, ncalls=452, regioncalls=2080, ndraw=40, logz=-1085.99, remainder_fraction=100.0000%, Lmin=-1080.22, Lmax=-708.36
14:49:56 [ultranest] [DEBUG] iteration=48, ncalls=455, regioncalls=2200, ndraw=40, logz=-1084.31, remainder_fraction=100.0000%, Lmin=-1073.72, Lmax=-708.36
14:49:56 [ultranest] [DEBUG] iteration=50, ncalls=457, regioncalls=2280, ndraw=40, logz=-1076.06, remainder_fraction=100.0000%, Lmin=-1069.75, Lmax=-708.36
14:49:56 [ultranest] [DEBUG] iteration=52, ncalls=459, regioncalls=2360, ndraw=40, logz=-1074.60, remainder_fraction=100.0000%, Lmin=-1067.91, Lmax=-708.36
14:49:57 [ultranest] [DEBUG] iteration=53, ncalls=461, regioncalls=2440, ndraw=40, logz=-1073.59, remainder_fraction=100.0000%, Lmin=-1067.91, Lmax=-708.36
14:49:57 [ultranest] [DEBUG] iteration=54, ncalls=463, regioncalls=2520, ndraw=40, logz=-1073.09, remainder_fraction=100.0000%, Lmin=-1065.71, Lmax=-708.36
14:49:57 [ultranest] [DEBUG] iteration=56, ncalls=465, regioncalls=2600, ndraw=40, logz=-1070.73, remainder_fraction=100.0000%, Lmin=-1064.52, Lmax=-708.36
14:49:57 [ultranest] [DEBUG] iteration=57, ncalls=467, regioncalls=2680, ndraw=40, logz=-1070.00, remainder_fraction=100.0000%, Lmin=-1064.19, Lmax=-708.36
14:49:57 [ultranest] [DEBUG] iteration=59, ncalls=469, regioncalls=2760, ndraw=40, logz=-1068.00, remainder_fraction=100.0000%, Lmin=-1062.12, Lmax=-708.36
14:49:57 [ultranest] [DEBUG] iteration=60, ncalls=471, regioncalls=2840, ndraw=40, logz=-1067.43, remainder_fraction=100.0000%, Lmin=-1061.87, Lmax=-708.36
14:49:57 [ultranest] [DEBUG] iteration=61, ncalls=473, regioncalls=2920, ndraw=40, logz=-1066.99, remainder_fraction=100.0000%, Lmin=-1061.26, Lmax=-708.36
14:49:57 [ultranest] [DEBUG] iteration=63, ncalls=476, regioncalls=3040, ndraw=40, logz=-1066.04, remainder_fraction=100.0000%, Lmin=-1059.62, Lmax=-708.36
14:49:58 [ultranest] [DEBUG] iteration=65, ncalls=478, regioncalls=3120, ndraw=40, logz=-1063.00, remainder_fraction=100.0000%, Lmin=-1056.88, Lmax=-708.36
