logA n_s H0 omega_b omega_cdm m_ncdm tau_reio
2.972437316592638545e+00 9.918019734127357934e-01 6.839502799884168383e+01 2.259657678879021386e-02 1.122526011115224653e-01 5.366592007032489064e-02 7.776361204506104796e-02
2.900062723719457392e+00 9.921748225656774611e-01 6.880962449437079442e+01 2.227824219152759952e-02 1.208233833274049845e-01 6.035518854563707430e-02 2.148755928045142927e-02
3.142190134757674169e+00 9.194213679227501990e-01 6.852443855120834826e+01 2.257763189115869623e-02 1.131377211724769183e-01 8.020346638958675278e-02 7.828103859437615664e-02
2.889934311288841151e+00 9.702336851811906859e-01 6.852693158781001159e+01 2.221355066826574687e-02 1.209220918719836474e-01 8.186532015610613333e-02 6.800186139639535776e-02
3.054890871628853866e+00 9.127751334010602013e-01 6.911540063564304148e+01 2.229218691698571855e-02 1.246238376658908575e-01 9.645771085640615639e-02 1.022059600669666425e-02
2.836350143882401031e+00 9.389184271572784679e-01 6.885263094140348983e+01 2.218331464768747915e-02 1.122290861466042067e-01 7.500985393063720752e-02 1.497793154323160889e-02
3.095932885674410606e+00 9.216852922264875403e-01 6.907656738973801680e+01 2.201673151310844928e-02 1.256934635184184523e-01 1.476493645403798016e-02 2.281004019972505958e-02
3.031435087666964456e+00 9.747570155244486001e-01 6.829310864917908930e+01 2.204624523726971333e-02 1.199040228224951543e-01 7.039158307287134153e-02 3.769731058771755988e-02
3.129084240074782919e+00 9.678110711803870059e-01 6.886089655006288979e+01 2.230829707855826530e-02 1.210717899858007596e-01 2.668644774546788043e-02 5.784244379619556120e-02
3.061806330077162741e+00 9.414034565041865532e-01 6.853603430077080816e+01 2.241986279444849878e-02 1.113025977860663679e-01 1.356182580767446681e-02 4.683450842346869453e-02
2.986985859390585585e+00 9.433552602382265784e-01 6.857416464855273830e+01 2.241221714927824765e-02 1.148574783175856234e-01 1.979729275072699898e-02 2.801074959016267019e-02
2.844153618356116464e+00 9.817593748090007733e-01 6.868685743528317289e+01 2.216173690390237094e-02 1.183395577506196478e-01 8.251950434104063370e-02 4.370331485481571132e-02
3.113368579296521776e+00 9.469678062735173985e-01 6.880502805721160087e+01 2.245895892848094599e-02 1.181579517614493868e-01 2.558213671520592758e-03 6.407102058215230489e-02
2.875361806676775878e+00 9.275751584323753685e-01 6.854751612519143578e+01 2.206925239424760779e-02 1.202138550632212283e-01 1.486654449222674090e-02 4.770325396906441306e-02
2.932511802017839120e+00 9.028499960457242457e-01 6.845360857990971226e+01 2.200981472343251436e-02 1.109911453548071969e-01 3.644229599034130157e-02 1.198861194364274005e-02
3.079977095868340786e+00 9.151008778417600853e-01 6.868077255671306602e+01 2.247022285809405218e-02 1.172123233154015176e-01 1.957327255589105808e-02 3.495131489393712987e-02
3.106284402578364912e+00 9.058711996489950957e-01 6.883691222324483761e+01 2.237309312611518788e-02 1.205253167469314407e-01 6.441938690930205935e-02 1.416950488352736702e-02
3.055364390642344663e+00 9.272101609091266683e-01 6.883073841764844758e+01 2.215208100466994900e-02 1.176991986432189552e-01 1.492519390843265008e-02 2.619293101278091784e-02
3.171824278398274188e+00 9.977519583408223092e-01 6.848446752758904665e+01 2.255176409793940157e-02 1.156044607143011937e-01 9.273483997469711415e-02 7.745355812300191989e-02
2.891398207350637684e+00 9.826825890261139396e-01 6.828913597118008738e+01 2.201790947480606123e-02 1.168633289500578265e-01 2.735871491619465065e-02 3.782614389540230743e-02
3.062778777633086591e+00 9.001327049537484193e-01 6.831689025361599477e+01 2.233153988043888941e-02 1.166034736267736738e-01 7.127265934590999025e-03 1.500765905090921393e-02
2.962346270749306232e+00 9.671090216328821487e-01 6.845579322282466705e+01 2.203067961292408047e-02 1.152893086579132864e-01 4.269582376728483369e-02 6.772066165273275817e-02
2.980570767883609751e+00 9.526434650955059036e-01 6.912971850756103720e+01 2.225430110502060049e-02 1.124816010397289984e-01 2.229731629213801622e-02 2.917775169712490818e-02
2.999993944109276889e+00 9.254508117861245386e-01 6.869195216701471907e+01 2.245044251671307611e-02 1.208488252070574753e-01 9.690575142071357340e-02 5.590955665377110584e-02
2.996905240648137791e+00 9.323536112700525624e-01 6.819550370523472793e+01 2.205662728495583202e-02 1.164222922583516007e-01 9.201963292282316909e-02 1.832890449450494397e-02
2.965121246585339598e+00 9.449228890003722459e-01 6.841292457056675858e+01 2.210048043878607218e-02 1.163240694897310773e-01 6.616689748014559398e-03 6.629745531338693265e-02
3.114444334305182860e+00 9.716058715709834370e-01 6.837560143440721561e+01 2.251634897267165702e-02 1.151181177357005203e-01 9.536701651590551165e-02 3.500915636144075194e-02
2.918123401323672095e+00 9.685059008776871758e-01 6.841763237858384628e+01 2.215426702722535571e-02 1.161892863060780545e-01 7.110944631410781591e-02 7.228395066328691110e-02
3.087016066580994700e+00 9.083168600462182551e-01 6.891993055468856255e+01 2.232778097485081312e-02 1.153989886639363860e-01 6.959783369137337306e-02 5.036075319002104173e-02
2.842464641445663798e+00 9.761621117100180989e-01 6.848448908556420633e+01 2.235602326178567911e-02 1.153341197857361555e-01 7.611817302870614588e-02 5.910372808699895092e-02
2.931132583211379039e+00 9.749358959327638630e-01 6.846578500458116423e+01 2.206796436734301259e-02 1.198188803620715281e-01 1.057500884708965222e-02 6.198353010116353090e-02
2.912200886190261073e+00 9.031573623208694057e-01 6.802464932681158416e+01 2.202247307360481049e-02 1.226149316864043326e-01 7.119911276281379320e-02 3.038395297559667863e-02
3.027283690906231062e+00 9.533033015412070155e-01 6.786439310774710520e+01 2.227168133548202561e-02 1.137043295944659416e-01 4.521966148556103016e-02 6.905088119425518978e-02
2.950127255908185919e+00 9.766257083184105570e-01 6.846680655102107949e+01 2.217032282060804257e-02 1.170308015161244108e-01 1.794147185855725010e-02 4.019658766812781586e-02
2.982957179999017772e+00 9.195598728722981230e-01 6.809756758387413811e+01 2.207550466794836602e-02 1.166731247779896063e-01 1.186902298061287607e-04 3.694633051149058545e-02
2.816173121218347841e+00 9.236359020237816519e-01 6.832272412035078446e+01 2.239892725645289961e-02 1.136801886987899718e-01 8.731670574723224276e-02 5.082127367475873514e-02
2.947684095027156115e+00 9.167333345550171542e-01 6.854467166622764296e+01 2.207656763571744230e-02 1.156337553223576869e-01 5.417187417269997418e-02 1.936826114697112397e-02
3.132347505694156542e+00 9.415904435592186150e-01 6.811680437473373217e+01 2.223762629868593355e-02 1.134644090808686334e-01 4.558577705347099940e-02 2.665951649081853975e-02
