logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -4.989386152013890978e+02 -5.049313294880803937e+02 9.449999999999999512e-01
-5.049313294880803937e+02 nan -2.500000000000000052e-03 4.000000000000000000e+02 -4.765027045958608483e+02 -4.824979188825521419e+02 1.989999999999999991e+00
-4.824979188823713230e+02 nan -5.000000000000000104e-03 4.000000000000000000e+02 -4.764845581797251270e+02 -4.824822724664164184e+02 1.425000000000000044e+00
-4.817969178928545375e+02 6.080903624755470638e+00 -7.499999999999999722e-03 4.000000000000000000e+02 -4.729069777421564709e+02 -4.789071920288477600e+02 1.125000000000000000e+00
-4.788530908027596524e+02 6.705169848893943296e+00 -1.000000000000000021e-02 4.000000000000000000e+02 -4.660940265326426584e+02 -4.720967408193339452e+02 1.729999999999999982e+00
-4.720955780275274378e+02 8.730986532914057463e+00 -1.250000000000000069e-02 4.000000000000000000e+02 -4.651317439501638660e+02 -4.711369582368552074e+02 1.719999999999999973e+00
-4.708123982970495263e+02 2.102204432504349185e+00 -1.500000000000000118e-02 4.000000000000000000e+02 -4.642725310699170223e+02 -4.702802453566083614e+02 1.004999999999999893e+00
-4.698181862634130539e+02 6.542609331405102591e-01 -1.750000000000000167e-02 4.000000000000000000e+02 -4.610016888441561491e+02 -4.670119031308474860e+02 3.049999999999999933e-01
-4.669532294152796794e+02 1.516118085005719207e+00 -2.000000000000000042e-02 4.000000000000000000e+02 -4.484246927856376033e+02 -4.544374070723289378e+02 1.549999999999999989e-01
-4.544374034041828736e+02 5.970891920466874225e+00 -2.249999999999999917e-02 4.000000000000000000e+02 -4.450123408076087230e+02 -4.510275550943000553e+02 7.700000000000000178e-01
-4.509950431686872889e+02 1.766564765728312336e+00 -2.499999999999999792e-02 4.000000000000000000e+02 -4.419170633326960456e+02 -4.479347776193873756e+02 8.750000000000000000e-01
-4.478889678484871979e+02 1.923117764367188398e+00 -2.749999999999999667e-02 4.000000000000000000e+02 -4.411125951376869239e+02 -4.471328094243782516e+02 1.385000000000000009e+00
-4.467479100429774803e+02 1.651182140015959199e+00 -2.999999999999999542e-02 4.000000000000000000e+02 -4.386728983871249739e+02 -4.446956126738162993e+02 1.784999999999999920e+00
-4.445747769765378621e+02 8.570139942124367360e-01 -3.249999999999999417e-02 4.000000000000000000e+02 -4.369122361307129268e+02 -4.429374504174042499e+02 1.399999999999999911e+00
-4.427597232902763267e+02 9.894450202390304705e-01 -3.499999999999999639e-02 4.000000000000000000e+02 -4.328327348095636466e+02 -4.388604490962549676e+02 5.250000000000000222e-01
-4.388403949236586641e+02 2.372361558475394538e+00 -3.749999999999999861e-02 4.000000000000000000e+02 -4.295449908117636824e+02 -4.355752050984550010e+02 7.000000000000000666e-02
-4.355377265895289156e+02 2.117590739132388045e+00 -4.000000000000000083e-02 4.000000000000000000e+02 -4.268167086351381840e+02 -4.328494229218295004e+02 1.499999999999999944e-02
-4.327836387527190141e+02 3.295838930888147278e+00 -4.250000000000000305e-02 4.000000000000000000e+02 -4.148799214350305533e+02 -4.209151357217218674e+02 1.094999999999999973e+00
-4.209151287140605859e+02 6.405097785544316302e+00 -4.500000000000000527e-02 4.000000000000000000e+02 -4.138771909622841463e+02 -4.199149052489754581e+02 1.919999999999999929e+00
-4.196017036555659274e+02 4.579258470168187323e+00 -4.750000000000000749e-02 4.000000000000000000e+02 -4.129675149285848761e+02 -4.190077292152761856e+02 9.350000000000000533e-01
-4.185681019900030719e+02 1.285734252604665562e+00 -5.000000000000000971e-02 4.000000000000000000e+02 -4.062393164529776186e+02 -4.122820307396689259e+02 1.254999999999999893e+00
-4.122801704099883864e+02 3.829413947227779946e+00 -5.250000000000001193e-02 4.000000000000000000e+02 -4.049195476946994177e+02 -4.109647619813907227e+02 1.794999999999999929e+00
-4.107270335539227517e+02 2.357823416064567912e+00 -5.500000000000001416e-02 4.000000000000000000e+02 -3.962449735169205383e+02 -4.022926878036118410e+02 1.514999999999999902e+00
-4.022924705520007933e+02 4.309700647758805125e+00 -5.750000000000001638e-02 4.000000000000000000e+02 -3.941064544672296392e+02 -4.001566687539209397e+02 3.800000000000000044e-01
-4.000449933809305207e+02 3.448152155616984516e+00 -6.000000000000001860e-02 4.000000000000000000e+02 -3.920176649420968715e+02 -3.980703792287881697e+02 9.150000000000000355e-01
-3.979403911007053694e+02 1.371307075240360884e+00 -6.250000000000001388e-02 4.000000000000000000e+02 -3.906865243983421578e+02 -3.967417386850334537e+02 6.999999999999999556e-01
-3.964781441237556692e+02 1.349493327365482775e+00 -6.500000000000001610e-02 4.000000000000000000e+02 -3.903557424215184142e+02 -3.964134567082097078e+02 1.530000000000000027e+00
-3.957521302688775222e+02 1.174040177199714652e+00 -6.750000000000001832e-02 4.000000000000000000e+02 -3.877931684078933472e+02 -3.938533826945846386e+02 1.955000000000000071e+00
-3.937138328963106915e+02 1.377029497755027032e+00 -7.000000000000002054e-02 4.000000000000000000e+02 -3.873612761376391518e+02 -3.934239904243304409e+02 9.300000000000000488e-01
-3.928652999504568015e+02 1.549758402118438072e+00 -7.250000000000002276e-02 4.000000000000000000e+02 -3.868210976405008523e+02 -3.928863119271921391e+02 4.199999999999999845e-01
-3.921826035713839360e+02 1.213180561987146966e+00 -7.500000000000002498e-02 4.000000000000000000e+02 -3.864126405343079682e+02 -3.924803548209993096e+02 1.814999999999999947e+00
-3.916272907361945954e+02 1.147082180115625238e+00 -7.750000000000002720e-02 4.000000000000000000e+02 -3.858967177160766937e+02 -3.919669320027680328e+02 1.830000000000000071e+00
-3.910896134443508458e+02 8.802360678553348139e-01 -8.000000000000002942e-02 4.000000000000000000e+02 -3.854410821689644990e+02 -3.915137964556558359e+02 3.500000000000000333e-02
-3.905862329916779458e+02 7.605188698342523201e-01 -8.250000000000003164e-02 4.000000000000000000e+02 -3.834678293227858035e+02 -3.895430436094771380e+02 6.049999999999999822e-01
-3.892412151883577849e+02 8.080893681846691434e-01 -8.500000000000003386e-02 4.000000000000000000e+02 -3.800537629226062677e+02 -3.861314772092976000e+02 9.399999999999999467e-01
-3.860878310689085993e+02 2.512559395453990430e+00 -8.750000000000003608e-02 4.000000000000000000e+02 -3.791896876181742755e+02 -3.852699019048656055e+02 4.099999999999999756e-01
-3.849043254344698539e+02 2.427810772159696207e+00 -9.000000000000003830e-02 4.000000000000000000e+02 -3.779511051543293547e+02 -3.840338194410206825e+02 1.745000000000000107e+00
-3.836840505578264242e+02 1.640143608241598105e+00 -9.250000000000004052e-02 4.000000000000000000e+02 -3.776244448308205506e+02 -3.837096591175118760e+02 1.700000000000000122e-01
-3.830036256845579032e+02 1.169594485505094816e+00 -9.500000000000004274e-02 4.000000000000000000e+02 -3.716469681342907165e+02 -3.777346824209820397e+02 1.849999999999999978e-01
-3.777295465831176102e+02 2.828013875375070096e+00 -9.750000000000004496e-02 4.000000000000000000e+02 -3.705411117096396652e+02 -3.766313259963309861e+02 2.949999999999999845e-01
-3.763435459840238195e+02 3.342865694940274413e+00 -1.000000000000000472e-01 4.000000000000000000e+02 -3.701750880700948301e+02 -3.762678023567861487e+02 8.900000000000000133e-01
-3.756118100240746571e+02 2.365429297431009381e+00 -1.025000000000000494e-01 4.000000000000000000e+02 -3.697920449252565618e+02 -3.758872592119478782e+02 9.949999999999999956e-01
-3.750469332370637972e+02 2.471615626868889581e+00 -1.050000000000000516e-01 4.000000000000000000e+02 -3.672794884053417377e+02 -3.733772026920330518e+02 4.799999999999999822e-01
-3.732046808319828415e+02 1.802639760989484197e+00 -1.075000000000000538e-01 4.000000000000000000e+02 -3.646889222833221993e+02 -3.707891365700135111e+02 1.485000000000000098e+00
-3.707035841032135863e+02 2.697559213000695788e+00 -1.100000000000000561e-01 4.000000000000000000e+02 -3.614907454083923426e+02 -3.675934596950836522e+02 1.475000000000000089e+00
-3.675498300550061117e+02 2.815622491964966390e+00 -1.125000000000000583e-01 4.000000000000000000e+02 -3.614508592840375059e+02 -3.675560735707288131e+02 6.250000000000000000e-01
-3.668597997596293681e+02 2.581339521006000393e+00 -1.150000000000000605e-01 4.000000000000000000e+02 -3.583314378212142515e+02 -3.644391521079055565e+02 2.149999999999999967e-01
