weight logl logA n_s H0 omega_b omega_cdm m_ncdm tau_reio
3.885028060145435232e-216 -4.989386152013890978e+02 2.854841466312833198e+00 9.858673531886954500e-01 7.983763538696052819e+01 2.203795357005405853e-02 1.154269572351480505e-01 1.482613728784909620e-03 3.110867372048772839e-02
2.148328036295204313e-206 -4.765027045958608483e+02 2.849105966369683163e+00 9.348189116225316120e-01 7.961909434488390502e+01 2.204863637579422553e-02 1.169151898850554483e-01 2.873511289352649600e-02 5.422719389162871523e-02
2.182206014079130368e-206 -4.764845581797251270e+02 2.934453932182826463e+00 9.579492786707832774e-01 7.941500504529807358e+01 2.214409035862424310e-02 1.133721645686194823e-01 4.989091906566113510e-02 2.818090715145558922e-02
7.789928199103665354e-205 -4.729069777421564709e+02 2.955621400815386046e+00 9.185325115586078226e-01 7.968034890396165792e+01 2.245940278157666087e-02 1.135467263335509652e-01 1.165830703633851176e-02 7.366621941670542517e-02
7.067646742092108355e-202 -4.660940265326426584e+02 2.983272893278932081e+00 9.577975177233249982e-01 7.925435477400731088e+01 2.208523602301991004e-02 1.129657677595261589e-01 1.767262704878478502e-02 6.563897041912661323e-02
1.845453529619415599e-201 -4.651317439501638660e+02 3.000418492823894834e+00 9.406560682398819040e-01 7.977307106494261291e+01 2.205553693761877834e-02 1.209548062713594746e-01 1.422193051118574372e-02 4.976462554251481762e-02
4.346791310046839060e-201 -4.642725310699170223e+02 3.076499415234472234e+00 9.478374046699671318e-01 7.976191486804295039e+01 2.231640535707721598e-02 1.178000391917130296e-01 7.651388291379935223e-03 7.521088206235336526e-02
1.141804588067956559e-199 -4.610016888441561491e+02 3.106035965920482145e+00 9.859533857655593536e-01 7.971234898827016480e+01 2.233041582434485903e-02 1.184266350743983093e-01 4.791139686445534951e-02 3.411837695555866579e-02
3.300851865976201037e-194 -4.484246927856376033e+02 3.047491418099491867e+00 9.909485977785472688e-01 7.975812896206537062e+01 2.254401229144261526e-02 1.195556070494336737e-01 6.840894579423704991e-02 3.645077690696667955e-02
9.988630152629311151e-193 -4.450123408076087230e+02 2.943489840324103213e+00 9.085879608105019711e-01 7.951144305158337033e+01 2.233868191392237093e-02 1.185692828446072294e-01 4.995974413663052671e-02 7.156185076524730626e-02
