weight logl logA n_s H0 omega_b omega_cdm m_ncdm tau_reio
3.885028060145435232e-216 -4.989386152013890978e+02 1.371036657820832172e-01 8.586735318869549438e-01 9.918817693480261877e-01 6.325595009009821190e-02 2.713478617574025531e-01 1.482613728784909490e-02 3.015524817212532627e-01
2.148328036295204313e-206 -4.765027045958608483e+02 1.227649159242079069e-01 3.481891162253164529e-01 9.809547172441949181e-01 8.106062632370891752e-02 3.457594942527720816e-01 2.873511289352649323e-01 6.318170555946958089e-01
2.182206014079130368e-206 -4.764845581797251270e+02 3.361348304570668244e-01 5.794927867078321082e-01 9.707502522649038568e-01 2.401505977070724773e-01 1.686082284309737833e-01 4.989091906566113233e-01 2.597272450207941397e-01
7.789928199103665354e-205 -4.729069777421564709e+02 3.890535020384652265e-01 1.853251155860783372e-01 9.840174451980826520e-01 7.656713026277681688e-01 1.773363166775481226e-01 1.165830703633851106e-01 9.095174202386488993e-01
7.067646742092108355e-202 -4.660940265326426584e+02 4.581822331973303131e-01 5.779751772332496484e-01 9.627177387003658104e-01 1.420600383665165944e-01 1.482883879763076118e-01 1.767262704878478363e-01 7.948424345589515383e-01
1.845453529619415599e-201 -4.651317439501638660e+02 5.010462320597369734e-01 4.065606823988185958e-01 9.886535532471308896e-01 9.256156269796322889e-02 5.477403135679734802e-01 1.422193051118574303e-01 5.680660791787830455e-01
4.346791310046839060e-201 -4.642725310699170223e+02 6.912485380861808082e-01 4.783740466996714291e-01 9.880957434021474528e-01 5.273422617953615887e-01 3.900019595856513144e-01 7.651388291379934703e-02 9.315840294621908768e-01
1.141804588067956559e-199 -4.610016888441561491e+02 7.650899148012048068e-01 8.595338576555940913e-01 9.856174494135081510e-01 5.506930405747675339e-01 4.213317537199152696e-01 4.791139686445534673e-01 3.445482422222666541e-01
3.300851865976201037e-194 -4.484246927856376033e+02 6.187285452487293336e-01 9.094859777854729099e-01 9.879064481032687750e-01 9.066871524043630393e-01 4.777803524716836003e-01 6.840894579423705268e-01 3.778682415280953943e-01
9.988630152629311151e-193 -4.450123408076087230e+02 3.587246008102582540e-01 8.587960810501904518e-02 9.755721525791681836e-01 5.644698565372890942e-01 4.284641422303614444e-01 4.995974413663052394e-01 8.794550109321043196e-01
2.201314650551963010e-191 -4.419170633326960456e+02 4.329837972944824420e-01 1.525826786443240657e-01 9.438967514098358658e-01 2.632473113220482608e-01 8.391091147202045519e-02 3.618863793318144451e-01 1.693766242171412806e-01
4.908767761966540609e-191 -4.411125951376869239e+02 3.008492522701231575e-01 7.653118627422802467e-01 9.905321884723831127e-01 7.313687237937128716e-01 5.998868036602096332e-01 2.192574921406836852e-01 6.385536084047273020e-01
5.616083882199736471e-190 -4.386728983871249739e+02 9.038274395749847923e-01 6.306762579633685695e-01 9.727059031122511357e-01 7.706237640371538244e-02 5.751313035724873179e-01 1.084808029946390251e-01 9.415445782664019214e-01
3.258320134228969366e-189 -4.369122361307129268e+02 2.085755765683994234e-02 2.920601941703766524e-01 9.919576751831652439e-01 4.728517813130737046e-01 7.349744760257452825e-01 2.487027009988940218e-02 6.167801672498932630e-01
1.921378508275107316e-187 -4.328327348095636466e+02 3.700004624694699373e-01 2.117983622314451031e-01 9.780095797391084034e-01 4.019400836355213613e-03 7.863606993208606122e-01 4.447367107308161094e-01 1.772471197808989096e-02
5.133059146401138179e-186 -4.295449908117636824e+02 9.315952868728862857e-01 6.977040144312185443e-01 9.837729780072808072e-01 1.998423878812640719e-01 8.973898286297337101e-01 8.860657789321099154e-01 8.623830550208915202e-01
7.837335288506505562e-185 -4.268167086351381840e+02 9.999344455021236255e-01 2.503660994873392331e-01 9.483270156487098035e-01 4.739662770438677342e-01 2.095772285008673519e-01 2.531332365501333115e-01 5.290735732061996321e-01
1.194437701613850296e-179 -4.148799214350305533e+02 8.822931894938580433e-01 4.711284622314675374e-01 9.391536655193410965e-01 2.774016873255699123e-01 2.865961669700649583e-01 5.076176115585832038e-01 4.219553339064852082e-02
3.247566688892263786e-179 -4.138771909622841463e+02 1.373950776204990731e-02 3.740753575026328770e-01 9.768359471268021066e-01 1.949674194567133645e-01 9.764074685686140453e-01 9.930997419986107300e-01 6.861349476918608969e-01
8.045251475041946666e-179 -4.129675149285848761e+02 1.524660752661737284e-01 1.673076088185153631e-01 8.831340380293983827e-03 7.073793821660468994e-01 7.787613401408506331e-01 3.601603480273134483e-01 1.086434971007911310e-01
6.706151470721345417e-176 -4.062393164529776186e+02 1.508266390461517892e-01 2.237060061181513904e-01 9.917321132462895150e-01 8.974394690349120074e-01 9.950858317439922329e-01 6.681274787665376635e-01 8.317185792273542599e-01
2.503547936545934139e-175 -4.049195476946994177e+02 2.551009770113372710e-01 6.032053359893049249e-01 9.604456181256277869e-01 9.247717449102171861e-01 5.121107923901345726e-01 7.509642173125672393e-01 7.065957430528618799e-01
1.461469894359350509e-171 -3.962449735169205383e+02 3.714054384083209648e-02 5.812370458438050891e-01 9.789071940966503904e-01 9.245738693688706489e-01 8.862268242555531028e-01 6.447778773478554104e-01 4.526976118725634102e-01
1.237232045239541156e-170 -3.941064544672296392e+02 9.869358976372044623e-02 5.648503661002814979e-01 9.609256327177007062e-01 7.904436310435851709e-01 6.865651105728486359e-01 7.570483582826851299e-01 5.927017183303802117e-01
9.965869328549189984e-170 -3.920176649420968715e+02 7.593910384923100443e-01 3.487520670312534987e-01 9.412279038700167577e-01 9.931231105843684182e-01 3.157856438508707120e-01 5.784882020456163509e-01 5.866808898967106334e-01
3.763019293694322259e-169 -3.906865243983421578e+02 1.688387536646883680e-01 2.239904467601033788e-01 9.524162516966672154e-01 8.972454606285595879e-03 7.954323788012868102e-01 5.248577082845118369e-02 6.415969348701306973e-01
5.225255079136309941e-169 -3.903557424215184142e+02 7.230764628632039281e-01 1.642841614534651384e-03 1.406077294773100395e-02 3.060163815962649858e-01 7.385629551895348532e-01 4.543283674022202678e-02 4.682140790389491825e-01
6.759794811486133540e-168 -3.877931684078933472e+02 4.104927675013556598e-01 1.768643390441697605e-01 9.594443934566418974e-01 4.780847492157298539e-01 8.760981044638196380e-01 9.485731005003279481e-01 2.184380435584837299e-01
1.038523209893039643e-167 -3.873612761376391518e+02 7.668399789355778706e-01 3.460880675025992392e-01 9.672796373957921467e-01 5.957836189824000650e-01 8.973614777514691276e-01 4.103991780094802255e-01 3.489382677953369871e-01
1.777980572914462812e-167 -3.868210976405008523e+02 3.776792242594305682e-01 5.162895064681605195e-01 9.412537230813409206e-01 1.233724198471698452e-01 7.098540736403798901e-01 8.011333845237132989e-01 1.994174828582627734e-01
2.668283326765609659e-167 -3.864126405343079682e+02 6.357172229155562126e-01 9.661868840394948199e-01 3.226852797146184670e-03 5.617131028090711631e-01 1.483957754204592305e-01 6.543168364817353311e-02 7.668690094173136185e-01
4.458703974324039111e-167 -3.858967177160766937e+02 7.356794467920728664e-01 5.012838342020171645e-01 9.609047181504324353e-01 6.330632652238026292e-01 8.091362926123627508e-01 4.907907116751002441e-01 9.898590055500259277e-01
7.014599936446414026e-167 -3.854410821689644990e+02 5.062016876285156952e-01 8.403654032990447442e-01 9.638681157677679856e-01 9.413880435229734500e-01 6.940301820939636102e-01 1.001499867497651630e-01 7.019885106978113187e-01
5.033730882858687599e-166 -3.834678293227858035e+02 6.878992197298765543e-01 1.822797081138989306e-01 4.241158967178693118e-03 8.182217329799046368e-02 5.118536106692223031e-01 2.804444602297654354e-01 6.088295927963850440e-01
1.525859182200692398e-164 -3.800537629226062677e+02 3.348009935402096460e-01 9.041363764060164065e-01 9.332649939791410887e-01 7.269529186774660312e-01 4.617077044488425708e-01 9.952498896932207018e-01 9.071426580919285110e-01
3.611535232152277996e-164 -3.791896876181742755e+02 7.092640390851803200e-01 7.279296666129961846e-01 9.176713237576437088e-01 6.771008332351077241e-01 1.611018205518901514e-01 1.477793068811286137e-01 6.252935754844790583e-01
1.243127429356252308e-163 -3.779511051543293547e+02 7.291425312585168017e-01 8.716747492963110577e-01 9.271855821318011337e-01 6.294966131866799319e-01 4.133036753753364101e-01 9.011030402615031187e-01 7.797081521271154170e-02
1.719082379832699596e-163 -3.776244448308205506e+02 9.640768607022215386e-01 7.834313467172319134e-01 9.524122210998744453e-01 4.102640763957343673e-01 7.938920363412758086e-01 4.745339839002615800e-02 8.277777146492404370e-01
6.763883172333062720e-161 -3.716469681342907165e+02 9.274313712969475265e-01 2.127768175361539615e-01 3.582517403282858837e-03 4.875951953622248425e-02 4.536375258933363908e-01 8.516706621494674057e-01 9.750445766253543756e-01
2.038814457347782463e-160 -3.705411117096396652e+02 5.750113210820002596e-01 5.784310724173936658e-01 9.601475880954951636e-01 9.005104840638644692e-01 8.160762146036408815e-01 6.469177188892183405e-02 2.411478852081769819e-01
2.932608001753802099e-160 -3.701750880700948301e+02 5.524561461799670781e-02 5.615690941983244588e-01 9.474193636311704081e-01 4.813193228216930963e-01 8.253419753131371328e-01 4.333467862784504687e-01 8.350381343548713975e-01
4.290637292546435104e-160 -3.697920449252565618e+02 7.448247548650184235e-01 4.375127633073870870e-01 9.482029410661314550e-01 6.960826444565256788e-01 7.259120338762017344e-01 1.843690180433734671e-01 4.334212376522993404e-01
5.279897590909133772e-159 -3.672794884053417377e+02 8.243518869758691414e-01 9.920752540813836395e-01 2.273230964585448710e-02 4.507640747593980590e-01 7.250440924473692261e-01 8.514349774642899771e-01 4.281433946313040195e-01
7.024385449496284910e-158 -3.646889222833221993e+02 4.838770058397842133e-01 4.652160327561045694e-01 2.783305190418061681e-02 2.125895975730232035e-01 7.965737943089165052e-01 6.130074234010740586e-02 9.015758500265519393e-01
1.715825695463216670e-156 -3.614907454083923426e+02 7.594951153773088492e-02 2.892597956114223434e-01 9.448434149918321090e-01 7.082691001694653155e-01 7.520466495086206571e-01 7.355545981556355084e-02 8.161909718867902397e-01
1.781187976451845321e-156 -3.614508592840375059e+02 7.693126965309711185e-01 1.711606498727480385e-02 3.746634819573324560e-02 6.761506119935072334e-01 8.360334665339613780e-01 3.774955262239605425e-01 5.697131490521282204e-01
4.021346971397791810e-155 -3.583314378212142515e+02 2.169324670721489712e-01 4.464523693599651288e-01 9.179946758062421663e-01 2.907781600576738734e-01 5.218763367650646190e-01 1.303085185271279922e-01 4.366348885327256957e-01
1.190096672303537155e-154 -3.572439351011867075e+02 4.526136076733789926e-01 9.753608709840277946e-02 4.297798285770448867e-02 9.877980916241727583e-01 7.951750604473174500e-01 5.687843788129836042e-01 8.907098121017265058e-02
1.252304921018796714e-154 -3.571904838520757153e+02 3.119165201845703894e-01 2.546554112163633699e-01 9.340153873625165470e-01 7.445335158185142355e-01 7.168209034989172501e-01 9.064170171147287736e-01 9.115054133960753813e-02
2.457213868034803252e-154 -3.565139415081123389e+02 6.638569769369320195e-01 9.571917291673729400e-01 5.026120043907811308e-02 9.257232264845840497e-01 9.158328404643384379e-01 5.840552686418309936e-02 2.080060742752194436e-01
4.023214725168030113e-153 -3.537158032833138464e+02 3.420003647030754879e-01 9.041134414419824683e-01 2.360476158192204021e-02 9.911824447352741707e-01 1.537431424069732877e-01 7.050252199716680046e-01 5.945558019887391410e-01
4.419612028576992519e-153 -3.536193326333494156e+02 3.700547914631402424e-01 3.327172202224260023e-01 9.246669774840031719e-01 5.091379814864096520e-01 6.160691027368521144e-01 2.479426290644962672e-01 4.271879554424762304e-03
1.486694478297148103e-151 -3.501011591786946724e+02 3.891098080777682933e-01 1.380022888546927895e-02 5.179380670857314239e-02 9.935060327444263928e-01 9.694498394122790241e-01 7.942655837732709445e-01 1.950427222946916617e-01
1.774279428956469177e-150 -3.476192348852766258e+02 7.585940412186426007e-01 2.383407605941085805e-01 2.622997955115746738e-02 6.062031187864164172e-01 2.772061845064942576e-01 3.338916944081335991e-01 1.235845261309245213e-01
