14:48:36 [ultranest] [DEBUG] ReactiveNestedSampler: dims=7+0, resume=False, log_dir=lcdm_output/lcdm_real_run/run1, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
14:48:36 [ultranest] [INFO] Sampling 400 live points from prior ...
14:48:48 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
14:48:48 [ultranest] [DEBUG] max_iters=-1, max_ncalls=1000000, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
14:48:48 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
14:48:48 [ultranest] [DEBUG] iteration=0, ncalls=401, regioncalls=40, ndraw=40, logz=-inf, remainder_fraction=100.0000%, Lmin=-498.94, Lmax=-5.20
14:48:48 [ultranest] [DEBUG] iteration=3, ncalls=404, regioncalls=160, ndraw=40, logz=-481.80, remainder_fraction=100.0000%, Lmin=-472.91, Lmax=-5.20
14:48:48 [ultranest] [DEBUG] iteration=6, ncalls=407, regioncalls=280, ndraw=40, logz=-470.81, remainder_fraction=100.0000%, Lmin=-464.27, Lmax=-5.20
14:48:48 [ultranest] [DEBUG] iteration=10, ncalls=411, regioncalls=440, ndraw=40, logz=-451.00, remainder_fraction=100.0000%, Lmin=-441.92, Lmax=-5.20
14:48:49 [ultranest] [DEBUG] iteration=14, ncalls=415, regioncalls=600, ndraw=40, logz=-442.76, remainder_fraction=100.0000%, Lmin=-432.83, Lmax=-5.20
14:48:49 [ultranest] [DEBUG] iteration=18, ncalls=419, regioncalls=760, ndraw=40, logz=-420.92, remainder_fraction=100.0000%, Lmin=-413.88, Lmax=-5.20
14:48:49 [ultranest] [DEBUG] iteration=22, ncalls=423, regioncalls=920, ndraw=40, logz=-410.73, remainder_fraction=100.0000%, Lmin=-396.24, Lmax=-5.20
14:48:49 [ultranest] [DEBUG] iteration=26, ncalls=427, regioncalls=1080, ndraw=40, logz=-396.48, remainder_fraction=100.0000%, Lmin=-390.36, Lmax=-5.20
14:48:49 [ultranest] [DEBUG] iteration=30, ncalls=431, regioncalls=1240, ndraw=40, logz=-392.18, remainder_fraction=100.0000%, Lmin=-386.41, Lmax=-5.20
14:48:49 [ultranest] [DEBUG] iteration=34, ncalls=436, regioncalls=1440, ndraw=40, logz=-389.24, remainder_fraction=100.0000%, Lmin=-380.05, Lmax=-5.20
14:48:49 [ultranest] [DEBUG] iteration=38, ncalls=440, regioncalls=1600, ndraw=40, logz=-383.00, remainder_fraction=100.0000%, Lmin=-371.65, Lmax=-5.20
14:48:49 [ultranest] [DEBUG] iteration=40, ncalls=444, regioncalls=1760, ndraw=40, logz=-376.34, remainder_fraction=100.0000%, Lmin=-370.18, Lmax=-5.20
14:48:50 [ultranest] [DEBUG] iteration=44, ncalls=448, regioncalls=1920, ndraw=40, logz=-370.70, remainder_fraction=100.0000%, Lmin=-361.49, Lmax=-5.20
14:48:50 [ultranest] [DEBUG] iteration=48, ncalls=452, regioncalls=2080, ndraw=40, logz=-363.04, remainder_fraction=100.0000%, Lmin=-357.19, Lmax=-5.20
