# z	 a	 Omega_ede	 w_ede
1.000000e-02	 9.900990e-01	 6.937021e-01	 -9.974207e-01
1.149757e-02	 9.886331e-01	 6.927593e-01	 -9.970639e-01
1.321941e-02	 9.869531e-01	 6.916755e-01	 -9.966590e-01
1.519911e-02	 9.850284e-01	 6.904296e-01	 -9.961990e-01
1.747528e-02	 9.828249e-01	 6.889975e-01	 -9.956784e-01
2.009233e-02	 9.803034e-01	 6.873512e-01	 -9.950896e-01
2.310130e-02	 9.774203e-01	 6.854590e-01	 -9.944258e-01
2.656088e-02	 9.741263e-01	 6.832842e-01	 -9.936799e-01
3.053856e-02	 9.703664e-01	 6.807849e-01	 -9.928438e-01
3.511192e-02	 9.660791e-01	 6.779130e-01	 -9.919100e-01
4.037017e-02	 9.611963e-01	 6.746134e-01	 -9.908710e-01
4.641589e-02	 9.556430e-01	 6.708230e-01	 -9.897204e-01
5.336699e-02	 9.493368e-01	 6.664699e-01	 -9.884525e-01
6.135907e-02	 9.421882e-01	 6.614722e-01	 -9.870630e-01
7.054802e-02	 9.341010e-01	 6.557366e-01	 -9.855482e-01
8.111308e-02	 9.249726e-01	 6.491574e-01	 -9.839081e-01
9.326033e-02	 9.146952e-01	 6.416157e-01	 -9.821438e-01
1.072267e-01	 9.031574e-01	 6.329780e-01	 -9.802579e-01
1.232847e-01	 8.902463e-01	 6.230958e-01	 -9.782557e-01
1.417474e-01	 8.758505e-01	 6.118063e-01	 -9.761415e-01
1.629751e-01	 8.598636e-01	 5.989330e-01	 -9.739191e-01
1.873817e-01	 8.421891e-01	 5.842889e-01	 -9.715866e-01
2.154435e-01	 8.227450e-01	 5.676819e-01	 -9.691337e-01
2.477076e-01	 8.014698e-01	 5.489235e-01	 -9.665371e-01
2.848036e-01	 7.783291e-01	 5.278416e-01	 -9.637507e-01
3.274549e-01	 7.533213e-01	 5.042992e-01	 -9.607010e-01
3.764936e-01	 7.264836e-01	 4.782182e-01	 -9.572738e-01
4.328761e-01	 6.978970e-01	 4.496092e-01	 -9.533072e-01
4.977024e-01	 6.676894e-01	 4.186039e-01	 -9.485757e-01
5.722368e-01	 6.360365e-01	 3.854867e-01	 -9.427780e-01
6.579332e-01	 6.031606e-01	 3.507163e-01	 -9.355201e-01
7.564633e-01	 5.693259e-01	 3.149305e-01	 -9.262951e-01
8.697490e-01	 5.348311e-01	 2.789230e-01	 -9.144634e-01
1.000000e+00	 5.000000e-01	 2.435887e-01	 -8.992286e-01
1.149757e+00	 4.651689e-01	 2.098412e-01	 -8.796215e-01
1.321941e+00	 4.306741e-01	 1.785153e-01	 -8.545009e-01
1.519911e+00	 3.968394e-01	 1.502755e-01	 -8.225957e-01
1.747528e+00	 3.639635e-01	 1.255518e-01	 -7.826177e-01
2.009233e+00	 3.323106e-01	 1.045159e-01	 -7.334816e-01
2.310130e+00	 3.021030e-01	 8.709922e-02	 -6.746510e-01
2.656088e+00	 2.735164e-01	 7.304233e-02	 -6.065633e-01
3.053856e+00	 2.466787e-01	 6.196050e-02	 -5.309995e-01
3.511192e+00	 2.216709e-01	 5.340835e-02	 -4.511698e-01
4.037017e+00	 1.985302e-01	 4.693356e-02	 -3.713253e-01
4.641589e+00	 1.772550e-01	 4.211439e-02	 -2.959197e-01
5.336699e+00	 1.578109e-01	 3.858123e-02	 -2.286355e-01
6.135907e+00	 1.401364e-01	 3.602517e-02	 -1.717005e-01
7.054802e+00	 1.241495e-01	 3.419751e-02	 -1.257399e-01
8.111308e+00	 1.097537e-01	 3.290408e-02	 -9.009184e-02
9.326033e+00	 9.684261e-02	 3.199694e-02	 -6.332854e-02
1.072267e+01	 8.530478e-02	 3.136576e-02	 -4.374310e-02
1.232847e+01	 7.502738e-02	 3.092964e-02	 -2.968385e-02
1.417474e+01	 6.589898e-02	 3.063013e-02	 -1.972701e-02
1.629751e+01	 5.781179e-02	 3.042553e-02	 -1.273122e-02
1.873817e+01	 5.066325e-02	 3.028644e-02	 -7.826004e-03
2.154435e+01	 4.435702e-02	 3.019226e-02	 -4.368993e-03
2.477076e+01	 3.880366e-02	 3.012872e-02	 -1.896853e-03
2.848036e+01	 3.392089e-02	 3.008599e-02	 -8.112419e-05
3.274549e+01	 2.963359e-02	 3.005733e-02	 1.309398e-03
3.764936e+01	 2.587365e-02	 3.003816e-02	 2.436831e-03
