# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.809833798623e-10       6.346490213977e-15       5.442145247380e-13       4.066461517498e-15       8.185529665112e-09       4.636934915683e-10      -1.834528211400e-12 
    3       2.404903993209e-10       7.363314195260e-15       4.255404859226e-13       3.821397265524e-15       5.023948967311e-09       3.296166642004e-10      -1.386557990250e-12 
    4       2.224243712950e-10       6.253532314516e-15       3.530648451022e-13       3.088542548604e-15       3.479397298495e-09       2.499455378837e-10      -9.035678814287e-13 
    5       2.125408131187e-10       4.232041224252e-15       2.864829206505e-13       2.242171925535e-15       2.589309312168e-09       1.976207429876e-10      -4.977214286764e-13 
    6       2.061922592145e-10       2.476872418707e-15       2.240031522747e-13       1.514778066824e-15       2.017719080873e-09       1.608478748956e-10      -1.998807464754e-13 
    7       2.021040394583e-10       1.447983276835e-15       1.705894110696e-13       1.000181494146e-15       1.624530353867e-09       1.338335692755e-10      -1.124095011301e-14 
    8       1.995627584783e-10       1.028969380100e-15       1.289999376667e-13       6.995671376770e-16       1.340385630177e-09       1.133810571224e-10       8.363454817592e-14 
    9       1.980453547032e-10       9.247751239216e-16       9.976343109845e-14       5.700478779679e-16       1.127141775597e-09       9.750479635655e-11       1.085943668166e-13 
   10       1.972176005553e-10       9.271764599555e-16       8.163698976615e-14       5.578675123970e-16       9.623076317376e-10       8.487832836601e-11       8.987418687127e-14 
   11       1.969053847879e-10       9.646861579397e-16       7.226199358384e-14       6.168851328287e-16       8.238099950953e-10       7.545076095171e-11       5.183680736323e-14 
   12       1.969823247561e-10       1.036896798545e-15       6.887872959717e-14       7.144161077804e-16       7.200510077257e-10       6.673137345688e-11       1.181274700953e-14 
   13       1.972756944085e-10       1.147964813732e-15       6.902157301653e-14       8.313980816613e-16       6.348439892171e-10       5.963302833814e-11      -1.821166623522e-14 
   14       1.978125675458e-10       1.288792026214e-15       7.083098582257e-14       9.581644097342e-16       5.639309189984e-10       5.357693287689e-11      -3.399181244553e-14 
   15       1.984919959980e-10       1.448313149488e-15       7.299770746294e-14       1.091116362676e-15       5.042274749740e-10       4.829404598357e-11      -3.645988589788e-14 
   16       1.992813539611e-10       1.624984879367e-15       7.485995463723e-14       1.229041967179e-15       4.534515200840e-10       4.379850096987e-11      -2.955523455106e-14 
   17       2.001766419864e-10       1.824273525162e-15       7.626877943806e-14       1.371710379262e-15       4.098823326808e-10       3.994218064927e-11      -1.856299664589e-14 
   18       2.011465816997e-10       2.050678523496e-15       7.744773753622e-14       1.519305366347e-15       3.720611430923e-10       3.655002843084e-11      -8.333358111188e-15 
   19       2.022146631186e-10       2.303960802549e-15       7.861624262358e-14       1.671719228140e-15       3.393786835497e-10       3.356597501333e-11      -1.371001253593e-15 
   20       2.033226811415e-10       2.581808501281e-15       7.993819664137e-14       1.828800876274e-15       3.105903282306e-10       3.089899346117e-11       7.353433189836e-16 
   21       2.044840800201e-10       2.883649940610e-15       8.136390559329e-14       1.990355193295e-15       2.852440266907e-10       2.854190484560e-11      -1.351549625059e-15 
   22       2.056794436087e-10       3.209256211817e-15       8.271097900552e-14       2.156185298719e-15       2.627302388591e-10       2.647049888896e-11      -5.792419222452e-15 
   23       2.069227407135e-10       3.558892153653e-15       8.372502206070e-14       2.325982359171e-15       2.427481200370e-10       2.462704713590e-11      -1.079489311905e-14 
   24       2.081986665666e-10       3.932828760413e-15       8.407821021987e-14       2.499430685919e-15       2.248420028958e-10       2.292622930590e-11      -1.449094691715e-14 
   25       2.095097857139e-10       4.331195689572e-15       8.345836882626e-14       2.676342406378e-15       2.087694014106e-10       2.137404163715e-11      -1.614927534326e-14 
   26       2.108395294706e-10       4.754197987423e-15       8.157623371160e-14       2.856571002230e-15       1.942161679234e-10       1.998894326896e-11      -1.555888703647e-14 
   27       2.122070765951e-10       5.203137547095e-15       7.839806645850e-14       3.039849776613e-15       1.811070814367e-10       1.875949351763e-11      -1.329876926303e-14 
   28       2.136121550057e-10       5.679839905223e-15       7.400249797401e-14       3.225872167428e-15       1.692835085872e-10       1.764494963688e-11      -1.043383619515e-14 
