# Dimensionless primordial spectrum, equal to [k^3/2pi^2] P(k) 
#    1:k [1/Mpc]              2:P_scalar(k)            3:P_tensor(k)        
       7.084951610638e-06       2.837881755812e-09       8.988620916757e-09 
       8.919425623964e-06       2.815783670627e-09       8.558080929874e-09 
       1.122889157662e-05       2.793857659337e-09       8.153081353526e-09 
       1.413633695208e-05       2.772102382034e-09       7.771936172620e-09 
       1.779659381866e-05       2.750516509242e-09       7.413080861167e-09 
       2.240458420170e-05       2.729098721838e-09       7.075063012759e-09 
       2.820570039220e-05       2.707847710970e-09       6.756533737020e-09 
       3.550887298119e-05       2.686762177980e-09       6.456239756186e-09 
       4.470302254019e-05       2.665840834319e-09       6.173016141919e-09 
       5.627777105985e-05       2.645082401475e-09       5.905779637803e-09 
       7.084951610638e-05       2.624485610890e-09       5.653522517828e-09 
       8.919425623964e-05       2.604049203884e-09       5.415306935591e-09 
       1.122889157662e-04       2.583771931579e-09       5.190259722937e-09 
       1.413633695208e-04       2.563652554820e-09       4.977567600394e-09 
       1.779659381866e-04       2.543689844102e-09       4.776472765064e-09 
       2.240458420170e-04       2.523882579496e-09       4.586268824638e-09 
       2.820570039220e-04       2.504229550569e-09       4.406297048899e-09 
       3.550887298119e-04       2.484729556315e-09       4.235942912608e-09 
       4.470302254019e-04       2.465381405080e-09       4.074632905863e-09 
       5.627777105985e-04       2.446183914490e-09       3.921831590124e-09 
       7.084951610638e-04       2.427135911377e-09       3.777038879943e-09 
       8.919425623964e-04       2.408236231707e-09       3.639787532130e-09 
       1.122889157662e-03       2.389483720513e-09       3.509640825667e-09 
       1.413633695208e-03       2.370877231819e-09       3.386190417058e-09 
       1.779659381866e-03       2.352415628574e-09       3.269054357122e-09 
       2.240458420170e-03       2.334097782580e-09       3.157875256403e-09 
       2.820570039220e-03       2.315922574425e-09       3.052318587419e-09 
       3.550887298119e-03       2.297888893414e-09       2.952071112996e-09 
       4.470302254019e-03       2.279995637500e-09       2.856839430783e-09 
       5.627777105985e-03       2.262241713216e-09       2.766348624885e-09 
       7.084951610638e-03       2.244626035612e-09       2.680341016296e-09 
       8.919425623964e-03       2.227147528186e-09       2.598575004479e-09 
       1.122889157662e-02       2.209805122817e-09       2.520823993085e-09 
       1.413633695208e-02       2.192597759703e-09       2.446875393357e-09 
       1.779659381866e-02       2.175524387294e-09       2.376529699298e-09 
       2.240458420170e-02       2.158583962227e-09       2.309599629149e-09 
       2.820570039220e-02       2.141775449266e-09       2.245909328172e-09 
       3.550887298119e-02       2.125097821232e-09       2.185293628129e-09 
       4.470302254019e-02       2.108550058950e-09       2.127597359208e-09 
       5.627777105985e-02       2.092131151177e-09       2.072674710499e-09 
       7.084951610638e-02       2.075840094546e-09       2.020388635417e-09 
       8.919425623964e-02       2.059675893502e-09       1.970610298770e-09 
       1.122889157662e-01       2.043637560243e-09       1.923218562401e-09 
       1.413633695208e-01       2.027724114660e-09       1.878099506613e-09 
       1.779659381866e-01       2.011934584273e-09       1.835145984763e-09 
       2.240458420170e-01       1.996268004177e-09       1.794257208650e-09 
       2.820570039220e-01       1.980723416980e-09       1.755338362472e-09 
       3.550887298119e-01       1.965299872744e-09       1.718300243334e-09 
       4.470302254019e-01       1.949996428930e-09       1.683058926414e-09 
       5.627777105985e-01       1.934812150336e-09       1.649535453060e-09 
       7.084951610638e-01       1.919746109043e-09       1.617655540207e-09 
       8.919425623964e-01       1.904797384360e-09       1.587349309648e-09 
       1.122889157662e+00       1.889965062762e-09       1.558551035785e-09 
       1.413633695208e+00       1.875248237838e-09       1.531198910586e-09 
       1.779659381866e+00       1.860646010238e-09       1.505234824610e-09 
       2.240458420170e+00       1.846157487610e-09       1.480604162996e-09 
       2.820570039220e+00       1.831781784555e-09       1.457255615434e-09 
       3.550887298119e+00       1.817518022567e-09       1.435140999192e-09 
       4.470302254019e+00       1.803365329980e-09       1.414215094359e-09 
