# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_fld            13:(.)w_fld              14:(.)rho_ur             15:(.)rho_crit           16:(.)rho_tot            17:(.)p_tot              18:(.)p_tot_prime        19:gr.fac. D             20:gr.fac. f          
       1.000000000000e+14       7.536805833358e-26       4.622052074410e-09       2.163757331024e+22       1.407971273540e+04       1.407971273540e-10       1.407971273540e+18       2.668276432443e-09       2.751560535470e+44       2.490422367464e+33       1.336376166075e+34       2.809107472535e+42       3.333333333220e-01       1.902194177205e+44       4.681845787559e+44       4.681845787559e+44       1.560615262466e+44      -1.350717086027e+53       5.632238531282e-06       2.000000000000e+00 
       9.991943997396e+13       7.548963829202e-26       4.625690053217e-09       2.160272488346e+22       1.407971273540e+04       1.409106450063e-10       1.406837011516e+18       2.670427729762e-09       2.742704612622e+44       2.484408360229e+33       1.333149012305e+34       2.800066334327e+42       3.333333333220e-01       1.896071947780e+44       4.666777223904e+44       4.666777223904e+44       1.555592407915e+44      -1.345285154830e+53       5.641316854178e-06       1.996781488055e+00 
       9.983894484710e+13       7.561141437178e-26       4.629328032024e-09       2.156793258186e+22       1.407971273540e+04       1.410242541822e-10       1.405703663253e+18       2.672580761523e-09       2.733877192643e+44       2.478408875946e+33       1.329929651642e+34       2.791054294904e+42       3.333333333220e-01       1.889969422807e+44       4.651757158557e+44       4.651757158557e+44       1.550585719466e+44      -1.339875068233e+53       5.650395177073e-06       1.993573318265e+00 
       9.975851456713e+13       7.573338689372e-26       4.632966010831e-09       2.153319631506e+22       1.407971273540e+04       1.411379549555e-10       1.404571228016e+18       2.674735529161e-09       2.725078183797e+44       2.472423879544e+33       1.326718065266e+34       2.782071261065e+42       3.333333333220e-01       1.883886538866e+44       4.636785435431e+44       4.636785435431e+44       1.545595145091e+44      -1.334486738391e+53       5.659473499969e-06       1.990375440883e+00 
       9.967814908182e+13       7.585555617598e-26       4.636603989638e-09       2.149851599281e+22       1.407971273540e+04       1.412517474000e-10       1.403439705069e+18       2.676892034082e-09       2.716307494641e+44       2.466453336036e+33       1.323514234403e+34       2.773117139087e+42       3.333333333219e-01       1.877823232743e+44       4.621861898932e+44       4.621861898932e+44       1.540620632925e+44      -1.329120077806e+53       5.668551822865e-06       1.987187806456e+00 
       9.959784833896e+13       7.597792253571e-26       4.640241968445e-09       2.146389152501e+22       1.407971273540e+04       1.413656315896e-10       1.402309093677e+18       2.679050277685e-09       2.707565034029e+44       2.460497210521e+33       1.320318140325e+34       2.764191835984e+42       3.333333333219e-01       1.871779441427e+44       4.606986393972e+44       4.606986393972e+44       1.535662131272e+44      -1.323774999335e+53       5.677630145761e-06       1.984010365851e+00 
       9.951761228640e+13       7.610048629060e-26       4.643879947253e-09       2.142932282169e+22       1.407971273540e+04       1.414796075983e-10       1.401179393106e+18       2.681210261371e-09       2.698850711107e+44       2.454555468182e+33       1.317129764349e+34       2.755295259077e+42       3.333333333219e-01       1.865755102108e+44       4.592158765962e+44       4.592158765962e+44       1.530719588602e+44      -1.318451416186e+53       5.686708468657e-06       1.980843070247e+00 
       9.943744087203e+13       7.622324775892e-26       4.647517926060e-09       2.139480979305e+22       1.407971273540e+04       1.415936755002e-10       1.400050602622e+18       2.683371986543e-09       2.690164435313e+44       2.448628074284e+33       1.313949087836e+34       2.746427315954e+42       3.333333333219e-01       1.859750152181e+44       4.577378860809e+44       4.577378860809e+44       1.525792953551e+44      -1.313149241916e+53       5.695786791552e-06       1.977685871135e+00 
       9.935733404377e+13       7.634620725961e-26       4.651155904867e-09       2.136035234943e+22       1.407971273540e+04       1.417078353693e-10       1.398922721492e+18       2.685535454604e-09       2.681506116377e+44       2.442714994180e+33       1.310776092193e+34       2.737587914461e+42       3.333333333219e-01       1.853764529240e+44       4.562646524918e+44       4.562646524918e+44       1.520882174920e+44      -1.307868390428e+53       5.704865114448e-06       1.974538720315e+00 
       9.927729174959e+13       7.646936511239e-26       4.654793883674e-09       2.132595040129e+22       1.407971273540e+04       1.418220872797e-10       1.397795748983e+18       2.687700666960e-09       2.672875664320e+44       2.436816193302e+33       1.307610758873e+34       2.728776962656e+42       3.333333333219e-01       1.847798171082e+44       4.547961605184e+44       4.547961605184e+44       1.515987201676e+44      -1.302608775972e+53       5.713943437344e-06       1.971401569892e+00 
