# dimensionless [l(l+1)/2pi] C_l's for scalar mode
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.312324876981e-10       3.794483315505e-15       3.505142567800e-13       0.000000000000e+00       7.098839442519e-09       3.457758400548e-10      -1.727871013215e-12 
    3       1.249179232761e-10       4.944664609183e-15       3.751937713202e-13       0.000000000000e+00       4.225551955722e-09       2.443874491104e-10      -1.297240182956e-12 
    4       1.192925269858e-10       4.400305202601e-15       3.412227326143e-13       0.000000000000e+00       2.867598288278e-09       1.872375977465e-10      -8.414365713351e-13 
    5       1.152890125252e-10       3.044378595550e-15       2.916806725487e-13       0.000000000000e+00       2.100096077855e-09       1.501586156850e-10      -4.546643657366e-13 
    6       1.127076030871e-10       1.795844735026e-15       2.451256190602e-13       0.000000000000e+00       1.614597721534e-09       1.240681794429e-10      -1.634926757310e-13 
    7       1.112217908687e-10       1.067984204052e-15       2.084003462839e-13       0.000000000000e+00       1.284856275539e-09       1.047854787279e-10       2.950070918717e-14 
    8       1.106294919918e-10       7.920053228026e-16       1.817078129711e-13       0.000000000000e+00       1.049204867508e-09       9.005918511205e-11       1.355819516982e-13 
    9       1.106687352099e-10       7.148719031477e-16       1.629449098156e-13       0.000000000000e+00       8.741061657493e-10       7.851741725907e-11       1.734701271242e-13 
   10       1.112357037816e-10       6.452784116657e-16       1.497377354821e-13       0.000000000000e+00       7.400064588714e-10       6.925978073335e-11       1.648031738174e-13 
   11       1.121886446851e-10       5.296161953283e-16       1.403278365733e-13       0.000000000000e+00       6.293773130004e-10       6.235347871318e-11       1.302015152069e-13 
   12       1.134009452758e-10       4.023616057563e-16       1.338788660027e-13       0.000000000000e+00       5.463406599042e-10       5.591154477606e-11       8.782354125959e-14 
   13       1.148935643081e-10       3.094780285288e-16       1.301139044824e-13       0.000000000000e+00       4.786477923957e-10       5.047611620817e-11       4.926119994633e-14 
   14       1.165868279170e-10       2.688365974852e-16       1.289763272878e-13       0.000000000000e+00       4.226929259639e-10       4.596845959189e-11       2.142597549789e-14 
