# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.767937277243e-10       5.791842146701e-15       5.317048657817e-13       3.677457136825e-15       7.098839442519e-09       3.457758400548e-10      -1.727871013215e-12 
    3       2.344951350241e-10       6.896337462197e-15       3.951746357588e-13       3.535794300689e-15       4.225551955722e-09       2.443874491104e-10      -1.297240182956e-12 
    4       2.172953329070e-10       6.074414411867e-15       3.148793183999e-13       2.940018351572e-15       2.867598288278e-09       1.872375977465e-10      -8.414365713351e-13 
    5       2.086352672451e-10       4.296797348158e-15       2.542722977027e-13       2.203512040685e-15       2.100096077855e-09       1.501586156850e-10      -4.546643657366e-13 
    6       2.033901657996e-10       2.654343317807e-15       2.077403585161e-13       1.538716505012e-15       1.614597721534e-09       1.240681794429e-10      -1.634926757310e-13 
    7       2.002582881694e-10       1.656471364862e-15       1.737031947276e-13       1.044768588183e-15       1.284856275539e-09       1.047854787279e-10       2.950070918717e-14 
    8       1.985629580530e-10       1.252034070242e-15       1.490533960629e-13       7.379436084134e-16       1.049204867508e-09       9.005918511205e-11       1.355819516982e-13 
    9       1.977999988404e-10       1.159493771213e-15       1.307103699045e-13       5.902806638174e-16       8.741061657493e-10       7.851741725907e-11       1.734701271242e-13 
   10       1.977332625133e-10       1.146486391507e-15       1.162811291717e-13       5.583249401336e-16       7.400064588714e-10       6.925978073335e-11       1.648031738174e-13 
   11       1.981440355674e-10       1.125059798554e-15       1.042953770474e-13       6.012128225088e-16       6.293773130004e-10       6.235347871318e-11       1.302015152069e-13 
   12       1.988594019160e-10       1.109150998026e-15       9.422737143267e-14       6.876175049821e-16       5.463406599042e-10       5.591154477606e-11       8.782354125959e-14 
   13       1.998724074250e-10       1.135729863665e-15       8.604102248484e-14       7.972552838955e-16       4.786477923957e-10       5.047611620817e-11       4.926119994633e-14 
   14       2.010868553451e-10       1.219937392768e-15       7.984100821031e-14       9.193133774890e-16       4.226929259639e-10       4.596845959189e-11       2.142597549789e-14 
   15       2.023970074212e-10       1.355170449463e-15       7.574988037635e-14       1.048109652466e-15       3.758817417873e-10       4.199996318261e-11       5.980967261939e-15 
   16       2.038244198817e-10       1.527540271348e-15       7.368076458659e-14       1.182544353781e-15       3.363069657469e-10       3.849596945415e-11       1.382453979964e-15 
   17       2.053325960595e-10       1.729483145167e-15       7.326605054756e-14       1.321351325718e-15       3.025390726531e-10       3.543489913547e-11       4.142391438213e-15 
   18       2.068985268338e-10       1.956734650233e-15       7.401592712655e-14       1.464964244207e-15       2.733790961241e-10       3.274614831164e-11       9.938354303772e-15 
   19       2.085468745421e-10       2.205962456445e-15       7.547192475192e-14       1.613340027802e-15       2.483115123210e-10       3.039945291272e-11       1.572824561601e-14 
   20       2.102153956158e-10       2.473271609232e-15       7.703502859362e-14       1.766162184488e-15       2.263332381047e-10       2.831571971970e-11       1.869313246976e-14 
   21       2.119228212469e-10       2.757454717063e-15       7.834527839243e-14       1.923270312370e-15       2.070701092732e-10       2.644971602608e-11       1.823040728431e-14 
   22       2.136583033585e-10       3.058674849546e-15       7.908101557348e-14       2.084597493309e-15       1.900326417925e-10       2.474214464187e-11       1.477793740599e-14 
   23       2.154311069166e-10       3.380027332940e-15       7.905733455604e-14       2.249994795044e-15       1.749744002997e-10       2.320173553513e-11       9.535077470210e-15 
   24       2.172192606484e-10       3.725608956568e-15       7.812960936688e-14       2.419284912817e-15       1.615329946414e-10       2.183531676488e-11       4.140030696657e-15 
   25       2.190325400451e-10       4.097069166975e-15       7.621961507682e-14       2.592155186770e-15       1.495134449188e-10       2.060949373313e-11      -2.770373340639e-16 
   26       2.208656353572e-10       4.495167734823e-15       7.328149011193e-14       2.768261499691e-15       1.386682848166e-10       1.946931752808e-11      -2.822536485325e-15 
   27       2.227370368460e-10       4.920363358820e-15       6.931464391248e-14       2.947350093336e-15       1.289339788123e-10       1.841199223691e-11      -3.532434764252e-15 
   28       2.246413253557e-10       5.372828813974e-15       6.434829852070e-14       3.129210692376e-15       1.201850770203e-10       1.744155157811e-11      -2.873793958257e-15 
   29       2.265468600731e-10       5.852575290346e-15       5.841216237988e-14       3.313640739456e-15       1.121997414714e-10       1.655193520401e-11      -1.470828397205e-15 
   30       2.284662371803e-10       6.359903284566e-15       5.145351850399e-14       3.500386395646e-15       1.049293339192e-10       1.573694168536e-11       1.421176328067e-16 
   31       2.304069535472e-10       6.895104546864e-15       4.338626670284e-14       3.689179048570e-15       9.831595466118e-11       1.498195076884e-11       1.347383315099e-15 
   32       2.323590176535e-10       7.458492161388e-15       3.412762491554e-14       3.879755162841e-15       9.225010967667e-11       1.426753804771e-11       1.558923415968e-15 
   33       2.343264721962e-10       8.050948015905e-15       2.365735298924e-14       4.071873118573e-15       8.669584728318e-11       1.359544643850e-11       8.875648732978e-16 
   34       2.363030274895e-10       8.673579394431e-15       1.198048337398e-14       4.265303269132e-15       8.160105425680e-11       1.297110593204e-11      -2.733363845168e-16 
   35       2.382726917508e-10       9.327518271197e-15      -8.975860035593e-16       4.459813340919e-15       7.688644256380e-11       1.239650917510e-11      -1.492686231095e-15 
   36       2.402484557819e-10       1.001369877850e-14      -1.500596568230e-14       4.655131191181e-15       7.253806823761e-11       1.187036622697e-11      -2.581194783965e-15 
