# dimensionless [l(l+1)/2pi] C_l's for tensor mode
# for l=2 to 500, i.e. number of multipoles equal to 499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.455608867599e-10       1.997207104102e-15       1.811906116812e-13       3.677305409803e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    3       1.095765082134e-10       1.951369365724e-15       1.998087637101e-14       3.535490814111e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    4       9.800163992903e-11       1.673603323927e-15      -2.634337996177e-14       2.939512469733e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    5       9.334451781229e-11       1.251659788327e-15      -3.740829691117e-14       2.202753088409e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    6       9.068015087537e-11       8.574358059862e-16      -3.738510752793e-14       1.537653761028e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    7       8.903331154124e-11       5.870697765741e-16      -3.469688048123e-14       1.043351280488e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    8       8.792941283578e-11       4.582058921410e-16      -3.265397190947e-14       7.361209118554e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    9       8.712625511170e-11       4.423426038352e-16      -3.223385117857e-14       5.880017000444e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   10       8.649151291246e-11       4.984212913089e-16      -3.345558929675e-14       5.555387799778e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   11       8.594823151850e-11       5.920983970986e-16      -3.603101442595e-14       5.978684907853e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   12       8.545011303862e-11       7.028345003148e-16      -3.964950607101e-14       6.836639875940e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   13       8.496924978427e-11       8.216360210954e-16      -4.407021929177e-14       7.926415370625e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   14       8.448912359763e-11       9.457727662156e-16      -4.913183612408e-14       9.139883388399e-16       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   15       8.400018343777e-11       1.075971158669e-15      -5.473618016006e-14       1.042022253676e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   16       8.349720620580e-11       1.211984890427e-15      -6.083147661836e-14       1.175643534381e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   17       8.297765362182e-11       1.354731250982e-15      -6.739058992133e-14       1.313586047684e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   18       8.243455932129e-11       1.503444018398e-15      -7.438656316479e-14       1.456283507087e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   19       8.188584337892e-11       1.657676475370e-15      -8.180227730341e-14       1.603692882791e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   20       8.131246565461e-11       1.817335400667e-15      -8.961331187391e-14       1.755497750140e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   21       8.072505164161e-11       1.982261196074e-15      -9.779543492643e-14       1.911537786605e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   22       8.011805318800e-11       2.152330634683e-15      -1.063186698159e-13       2.071746167224e-15       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
