# Matter power spectrum P(k) at redshift z=0
# for k=1.04887e-05 to 4.87874 h/Mpc,
# number of wavenumbers equal to 551
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.048874936985e-05       4.877334565424e+01 
       2.374807388421e-05       1.074058422390e+02 
       3.705604256594e-05       1.650745472592e+02 
       5.045059906607e-05       2.223884119057e+02 
       6.397034462015e-05       2.796988697484e+02 
       7.765490267824e-05       3.372738811374e+02 
       9.154529575727e-05       3.953457810331e+02 
       1.056843398057e-04       4.541316066014e+02 
       1.201170614084e-04       5.138431343961e+02 
       1.348911431953e-04       5.746934071586e+02 
       1.500574028089e-04       6.369011767558e+02 
       1.656703106847e-04       7.006945385746e+02 
       1.817885516231e-04       7.663138437084e+02 
       1.984756345833e-04       8.340146953734e+02 
       2.158005541692e-04       9.040703118538e+02 
       2.338385057161e-04       9.767741043861e+02 
       2.526716534827e-04       1.052441768320e+03 
       2.723899478920e-04       1.131413402287e+03 
       2.930919826595e-04       1.214055074328e+03 
       3.148858755348e-04       1.300759896700e+03 
       3.378901467392e-04       1.391948307142e+03 
       3.622345564919e-04       1.488067352043e+03 
       3.880608468290e-04       1.589588601833e+03 
       4.155233130748e-04       1.697004746267e+03 
       4.447891071669e-04       1.810823037874e+03 
       4.760381498487e-04       1.931557881638e+03 
       5.094625042050e-04       2.059719713294e+03 
       5.452650437447e-04       2.195802042021e+03 
       5.836572411676e-04       2.340265358791e+03 
       6.248559182797e-04       2.493520197322e+03 
       6.690788436686e-04       2.655908812564e+03 
       7.165391520274e-04       2.827687124852e+03 
       7.674386915401e-04       3.009008340148e+03 
       8.219605773110e-04       3.199909018311e+03 
       8.802614183015e-04       3.400298776907e+03 
       9.424638554153e-04       3.609954499032e+03 
       1.008650151410e-03       3.828518352577e+03 
       1.078857564000e-03       4.055501580283e+03 
       1.153076087430e-03       4.290292465937e+03 
       1.231248876603e-03       4.532170993795e+03 
       1.313275322526e-03       4.780327964794e+03 
       1.399016405564e-03       5.033889339585e+03 
       1.488301690852e-03       5.291893912238e+03 
       1.580937199171e-03       5.553461385370e+03 
       1.676713396888e-03       5.817686790024e+03 
       1.775412672660e-03       6.083699173993e+03 
       1.876815857493e-03       6.350679919332e+03 
       1.980707547191e-03       6.617874783337e+03 
       2.086880163575e-03       6.884599850087e+03 
       2.195136822280e-03       7.150244298721e+03 
       2.305293156188e-03       7.414269327456e+03 
       2.417178281045e-03       7.676205873918e+03 
       2.530635094957e-03       7.935649374521e+03 
       2.645520088213e-03       8.192254513698e+03 
       2.761702814170e-03       8.445729613172e+03 
       2.879065142793e-03       8.695831191118e+03 
       2.997500390511e-03       8.942357591882e+03 
       3.116912395387e-03       9.185144748073e+03 
       3.237214586389e-03       9.424060681361e+03 
       3.358329079547e-03       9.659001356024e+03 
       3.480185821696e-03       9.889886972932e+03 
       3.602721793660e-03       1.011665872320e+04 
